Financial Year,Quarter,Month,Checkouts (In-library),E-issues (Online),Active Members in last 12-months,% YoY - Active Members,% YoY - Visits,% YoY - Electronic Issues,% YoY - Checkouts,% YoY - Internet Sessions,Visits (In-library),% YoY - Website,% YoY - Physical (in-library) Renewals,% YoY - Online Renewals
FY18,Q1,Jul,1081017,154252,383624,6%,-5%,17%,n/a,3%,1048482,,n/a,n/a
FY18,Q1,Aug,987299,154617,382658,7%,-4%,22%,n/a,-3%,1028269,,n/a,n/a
FY18,Q1,Sep,957385,153743,385962,9%,0%,23%,n/a,-4%,1064683,,n/a,n/a
FY18,Q2,Oct,990571,154995,388079,10%,-0%,22%,n/a,3%,1013444,,n/a,n/a
FY18,Q2,Nov,893144,153064,388735,10%,-3%,25%,n/a,-0%,981900,,n/a,n/a
FY18,Q2,Dec,882124,172423,391555,5%,-1%,29%,n/a,6%,838734,,n/a,n/a
FY18,Q3,Jan,984419,186555,396186,6%,1%,27%,n/a,7%,898793,,n/a,n/a
FY18,Q3,Feb,886572,162873,396468,5%,-2%,30%,n/a,2%,891394,,n/a,n/a
FY18,Q3,Mar,950465,180773,397436,5%,-5%,26%,-7%,4%,987864,,-6%,8%
FY18,Q4,Apr,973069,182912,400196,6%,3%,25%,-3%,9%,949109,,2%,5%
FY18,Q4,May,952708,181580,399556,5%,-3%,25%,-5%,-2%,1000998,,-3%,5%
FY18,Q4,Jun,919199,184803,400127,5%,-4%,29%,-3%,-3%,918338,,-7%,6%
FY19,Q1,Jul,1011442,194181,401671,5%,-2%,26%,-6%,-8%,1025909,,1%,8%
FY19,Q1,Aug,950108,200470,402595,5%,-3%,30%,-4%,1%,997673,,-2%,4%
FY19,Q1,Sep,892617,195966,402315,4%,-11%,27%,-7%,3%,948900,,4%,7%
FY19,Q2,Oct,936309,210013,403295,4%,-3%,35%,-5%,-7%,986997,,-0%,6%
FY19,Q2,Nov,874158,227009,404237,4%,-2%,48%,-2%,-3%,960055,,-8%,5%
FY19,Q2,Dec,842438,201463,404081,3%,-7%,17%,-4%,-14%,779493,,-9%,2%
FY19,Q3,Jan,905080,210834,405848,2%,-4%,13%,-8%,-13%,861488,,-6%,11%
FY19,Q3,Feb,817354,185710,406496,3%,-5%,14%,-8%,-5%,845117,,-9%,8%
FY19,Q3,Mar,881156,203389,407675,3%,-5%,13%,-7%,-6%,934277,,-10%,4%
FY19,Q4,Apr,886566,207739,410058,2%,-6%,14%,-9%,-6%,892452,,-9%,5%
FY19,Q4,May,917530,217230,411322,3%,-5%,20%,-4%,1%,955737,,-10%,-4%
FY19,Q4,Jun,855641,214212,411765,3%,-7%,16%,-7%,-15%,850795,,-11%,1%
